"video","Baton","Pepper Spray","Uniformed","Chemical Smoke","Gun","Riot Shield","Non Uniformed","spray","running","crowd","brawling","person_on_ground","throwing","arresting","striking","violent_actions","detections_by_second"
"IMG_1513.mp4","","","2","","","","48","7","","4","","3","12","","25","25","[object Object]"
"MVI_0063.mp4","","1","","","","4","77","29","","13","","2","","","","0","[object Object]"
"IMG_1518.mp4","","","","","","","65","4","","4","","4","4","","23","23","[object Object]"
"MVI_0066.mp4","","3","","","","","14","1","","","","","","","","0","[object Object]"
"IMG_1514.mp4","","","1","","","","36","","5","","","","","","4","4","[object Object]"
"MVI_0068.mp4","","","","","","","43","8","","","","","","","","0","[object Object]"
"MVI_0067.mp4","","2","","","","","25","9","","","","","","","","0","[object Object]"
"MVI_0091.mp4","","","","","","","5","2","","","","","","","","0","[object Object]"
"P1000333.mp4","","","","","","","51","4","","","","46","","","","0","[object Object]"
"MVI_0340_2.mp4","","","","","","","218","","","","","225","","","","0","[object Object]"
"MVI_0340_3.mp4","","","","","","","218","","","","","225","","","","0","[object Object]"
"P1000334.mp4","","","","","","","2","","","","12","","","","","12","[object Object]"
"P1000335.mp4","","","12","","","","26","14","","","","","","","","0","[object Object]"
"IMG_1515.mp4","","1","2","","1","","108","27","","","","8","","","19","19","[object Object]"
"IMG_1516.mp4","","","2","","","","59","10","","","","4","4","","38","38","[object Object]"
"IMG_1517.mp4","","","1","","","","118","38","","","","11","","","12","12","[object Object]"
"P1000394.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"P1000393.mp4","","","7","","","","45","","","","","12","","","","0","[object Object]"
"MVI_1062.mp4","","1","","","","1","2","8","","","","","","","","0","[object Object]"
"IMG_1520.mp4","","","","","","","148","17","","","","12","16","","19","19","[object Object]"
"IMG_1533.mp4","","","","","","","1","","","4","","","","","","0","[object Object]"
"IMG_1521.mp4","","","","","","","3","1","","4","","","","","","0","[object Object]"
"IMG_1532.mp4","","","20","","","","28","","16","54","","20","","","","0","[object Object]"
"MVI_0340.mp4","","","","","","","218","","","","","225","","","","0","[object Object]"
"IMG_1522.mp4","","","","","","","2","","","10","","6","","","","0","[object Object]"
"MVI_1061.mp4","","","2","3","","3","","2","","","","","","","","0","[object Object]"
"IMG_1523.mp4","","","","","","","","","","1","","","","","","0","[object Object]"
"MVI_1060.mp4","","","","","","15","","4","","","","","","","","0","[object Object]"
"IMG_1534.mp4","","","2","","","","1","1","","","","","","","","0","[object Object]"
"IMG_1524.mp4","","","1","","","","9","","","1","","1","","","","0","[object Object]"
"MVI_1063.mp4","1","","","","","","21","","","2","","4","","","","0","[object Object]"
"IMG_1526.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"MVI_1064.mp4","","","","","","3","","1","","","","","","","","0","[object Object]"
"MVI_1066.mp4","","2","","","","5","","2","","","","","","","","0","[object Object]"
"MVI_1065.mp4","","","","","","","14","","1","","","","1","","","0","[object Object]"
"IMG_1527.mp4","","","","","","2","1","","","6","","4","","","","0","[object Object]"
"MVI_1068.mp4","","2","","","2","","3","1","","","","","","","","0","[object Object]"
"MVI_1067.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"MVI_0010.mp4","1","","","","","","508","20","8","79","","34","","","","0","[object Object]"
"James_NC_to_Tyler_NC_183344-1-.mp4","24","","10","","11","2","192","","142","124","","92","","","","0","[object Object]"
"IMG_1537.mp4","","1","1","","","","64","22","8","","","12","","","","0","[object Object]"
"IMG_5534.mp4","","","","","","","15","5","","","","","","","","0","[object Object]"
"IMG_6607.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"MVI_0061.mp4","","","4","","","","30","6","","","","","","","","0","[object Object]"
"MVI_0001.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"IMG_6752.mp4","","","","","","","","","","44","","","","","","0","[object Object]"
"MVI_0062.mp4","","","","","","","7","1","","","","","","","","0","[object Object]"
"MVI_0002.mp4","","1","2","","","","294","51","4","11","","","","","","0","[object Object]"
"IMG_6754.mp4","","","","2","","","","","14","","","","","","","0","[object Object]"
"MVI_0011.mp4","","","","","","","422","11","","63","","36","","","","0","[object Object]"
"MVI_0003.mp4","","","2","","","","24","","","1","","1","","","","0","[object Object]"
"MVI_0013.mp4","","","","","","","","1","","","","","","","","0","[object Object]"
"MVI_1069.mp4","","","2","","","","16","","","","","1","","","","0","[object Object]"
"MVI_1084.mp4","","","","","","4","","1","","","","","","","","0","[object Object]"
"P1000317.mp4","7","","3","","5","","68","16","","12","","","","","","0","[object Object]"
"P1000318.mp4","","","5","","1","","42","13","","8","","","","","","0","[object Object]"
"P1000339.mp4","","","6","","","","24","18","","","","2","","","","0","[object Object]"
"P1000337.mp4","","","3","","1","","26","","","8","","4","","","","0","[object Object]"
"P1000336.mp4","","","7","","1","","44","31","","","","","","","","0","[object Object]"
"P1000320.mp4","","1","","","5","","15","3","","3","","","","","","0","[object Object]"
"P1000340.mp4","","1","","","","","20","8","","","","","","","","0","[object Object]"
"P1000338.mp4","","","2","","3","","10","","","","","1","","","","0","[object Object]"
"P1000319.mp4","1","","5","","1","","11","","","1","","1","","","","0","[object Object]"
"P1000321.mp4","","","1","","1","","55","42","","11","","","","","","0","[object Object]"
